RADNIK;SATI;RADNAL;DatumRacuna;pcentar
128;12,00;70244;21.1.2008
128;-4,00;70905;21.1.2008
143;1,20;70896;21.1.2008
143;1,20;70922;21.1.2008
155;3,20;70887;21.1.2008
155;1,80;70895;21.1.2008
155;0,90;70902;21.1.2008
164;8,40;70244;21.1.2008
167;1,80;70893;21.1.2008
167;1,80;70897;21.1.2008
167;1,80;70913;21.1.2008
171;7,00;69933;21.1.2008
171;-2,50;70905;21.1.2008
172;5,00;69933;21.1.2008
172;-3,00;70905;21.1.2008
47;1,00;69806;22.1.2008
47;1,00;70344;22.1.2008
58;2,70;70916;22.1.2008
58;1,80;70950;22.1.2008
58;2,30;70972;22.1.2008
84;0,58;70928;22.1.2008
84;0,58;70930;22.1.2008
90;1,50;70724;22.1.2008
90;1,80;70917;22.1.2008
90;2,30;70942;22.1.2008
90;4,20;70949;22.1.2008
90;1,80;70962;22.1.2008
102;3,40;70939;22.1.2008
111;0,30;70942;22.1.2008
118;7,60;70487;22.1.2008
118;2,80;70907;22.1.2008
118;2,70;70914;22.1.2008
118;0,90;70930;22.1.2008
118;3,40;70945;22.1.2008
118;2,10;70964;22.1.2008
122;1,80;70941;22.1.2008
122;4,50;70951;22.1.2008
125;2,00;69806;22.1.2008
128;3,50;69806;22.1.2008
128;2,00;70277;22.1.2008
128;13,50;70344;22.1.2008
128;0,70;70613;22.1.2008
128;4,00;70736;22.1.2008
143;0,50;70929;22.1.2008
143;0,70;70954;22.1.2008
143;0,50;70967;22.1.2008
150;20,00;69806;22.1.2008
150;3,50;70587;22.1.2008
150;0,30;70613;22.1.2008
155;1,20;70487;22.1.2008
155;2,70;70946;22.1.2008
155;0,90;70960;22.1.2008
155;0,70;70965;22.1.2008
155;0,20;70966;22.1.2008
155;2,30;70971;22.1.2008
167;2,70;70919;22.1.2008
167;0,90;70928;22.1.2008
167;0,90;70966;22.1.2008
174;3,00;70301;22.1.2008
174;17,50;70344;22.1.2008
174;1,00;70736;22.1.2008
174;3,50;70819;22.1.2008
47;1,00;70245;23.1.2008
47;1,00;70383;23.1.2008
47;1,00;70394;23.1.2008
58;1,80;70959;23.1.2008
58;1,80;70987;23.1.2008
58;1,80;70992;23.1.2008
58;1,80;70998;23.1.2008
84;0,58;70871;23.1.2008
84;0,83;70931;23.1.2008
90;0,60;69558;23.1.2008
90;6,80;70981;23.1.2008
102;1,80;70982;23.1.2008
102;1,80;70985;23.1.2008
102;1,80;71002;23.1.2008
111;0,70;70471;23.1.2008
111;0,90;70871;23.1.2008
111;4,00;70874;23.1.2008
111;0,50;70935;23.1.2008
111;0,30;70956;23.1.2008
111;0,50;70968;23.1.2008
111;1,50;70989;23.1.2008
111;0,50;71006;23.1.2008
118;4,20;70969;23.1.2008
118;1,80;70976;23.1.2008
118;3,20;71009;23.1.2008
122;1,20;70620;23.1.2008
122;1,60;70926;23.1.2008
122;1,80;70986;23.1.2008
124;3,00;69947;23.1.2008
124;6,00;69949;23.1.2008
124;8,00;70245;23.1.2008
124;6,50;70383;23.1.2008
124;4,00;71003;23.1.2008
128;2,00;70394;23.1.2008
128;1,00;70630;23.1.2008
143;4,00;69860;23.1.2008
143;0,80;70620;23.1.2008
143;0,90;70931;23.1.2008
143;1,20;70958;23.1.2008
143;1,00;71001;23.1.2008
150;4,00;69947;23.1.2008
150;2,00;69948;23.1.2008
150;2,50;69949;23.1.2008
150;3,00;69950;23.1.2008
150;11,00;70245;23.1.2008
150;12,50;70383;23.1.2008
150;0,50;70630;23.1.2008
150;1,50;70926;23.1.2008
150;4,00;71003;23.1.2008
155;1,80;70983;23.1.2008
155;0,30;70988;23.1.2008
155;2,30;70994;23.1.2008
164;1,50;70394;23.1.2008
167;2,70;70815;23.1.2008
167;3,00;70984;23.1.2008
174;1,30;70394;23.1.2008
47;1,00;69972;24.1.2008
47;1,00;70078;24.1.2008
47;1,00;70445;24.1.2008
47;1,00;70484;24.1.2008
54;0,40;70378;24.1.2008
58;1,90;70472;24.1.2008
58;8,60;71014;24.1.2008
84;0,83;70975;24.1.2008
90;1,40;70551;24.1.2008
90;1,20;70955;24.1.2008
90;2,70;71018;24.1.2008
90;1,80;71030;24.1.2008
102;1,40;70693;24.1.2008
102;1,80;70973;24.1.2008
102;1,80;71016;24.1.2008
102;1,80;71033;24.1.2008
111;1,20;70814;24.1.2008
111;0,50;70933;24.1.2008
111;0,50;70934;24.1.2008
111;0,50;70936;24.1.2008
118;5,90;70449;24.1.2008
118;1,80;71024;24.1.2008
122;3,90;70449;24.1.2008
122;1,40;70633;24.1.2008
122;1,80;71017;24.1.2008
122;2,50;71027;24.1.2008
122;0,60;71036;24.1.2008
124;3,00;69972;24.1.2008
124;4,00;70484;24.1.2008
128;3,00;70078;24.1.2008
128;7,00;70397;24.1.2008
128;2,00;70445;24.1.2008
143;2,00;70833;24.1.2008
143;0,50;70970;24.1.2008
143;0,20;71018;24.1.2008
150;7,50;70078;24.1.2008
150;17,00;70445;24.1.2008
150;6,50;70484;24.1.2008
155;0,40;68870;24.1.2008
155;0,20;71000;24.1.2008
155;1,20;71014;24.1.2008
155;0,50;71016;24.1.2008
155;2,50;71021;24.1.2008
155;0,50;71024;24.1.2008
155;2,10;71047;24.1.2008
161;2,00;70551;24.1.2008
167;0,50;70807;24.1.2008
167;0,90;70975;24.1.2008
167;1,80;71020;24.1.2008
167;1,80;71034;24.1.2008
167;0,70;71037;24.1.2008
171;2,50;70078;24.1.2008
172;2,00;70445;24.1.2008
174;8,30;69972;24.1.2008
174;14,00;70397;24.1.2008
175;2,00;69972;24.1.2008
178;1,70;70823;24.1.2008
178;1,80;71028;24.1.2008
178;1,80;71032;24.1.2008
178;0,70;71041;24.1.2008
47;1,00;70424;25.1.2008
58;2,70;71049;25.1.2008
58;2,70;71059;25.1.2008
58;1,80;71074;25.1.2008
84;0,58;70667;25.1.2008
84;0,58;70932;25.1.2008
90;3,70;71050;25.1.2008
90;1,10;71063;25.1.2008
102;1,50;70612;25.1.2008
102;1,80;71048;25.1.2008
102;1,80;71075;25.1.2008
111;1,10;70632;25.1.2008
111;1,20;70679;25.1.2008
111;1,00;71052;25.1.2008
111;1,50;71062;25.1.2008
118;0,90;70932;25.1.2008
118;2,50;71056;25.1.2008
122;1,30;70632;25.1.2008
128;4,00;70424;25.1.2008
143;2,00;70776;25.1.2008
143;0,90;70805;25.1.2008
143;0,50;71044;25.1.2008
143;0,30;71086;25.1.2008
155;0,40;70612;25.1.2008
155;1,16;70708;25.1.2008
155;0,50;71048;25.1.2008
155;3,20;71051;25.1.2008
155;0,90;71054;25.1.2008
155;0,20;71075;25.1.2008
155;1,30;71080;25.1.2008
167;2,90;70612;25.1.2008
167;0,90;70667;25.1.2008
167;0,50;71043;25.1.2008
167;1,80;71058;25.1.2008
167;1,80;71073;25.1.2008
172;5,00;70424;25.1.2008
174;12,00;70424;25.1.2008
178;1,80;71044;25.1.2008
178;1,80;71053;25.1.2008
47;1,00;69740;26.1.2008
47;1,00;70071;26.1.2008
47;1,00;70156;26.1.2008
47;1,00;70217;26.1.2008
58;2,50;71090;26.1.2008
90;5,90;71089;26.1.2008
105;7,90;69740;26.1.2008
105;2,50;69907;26.1.2008
105;5,00;70918;26.1.2008
122;1,90;70944;26.1.2008
122;1,20;71079;26.1.2008
122;4,30;71091;26.1.2008
122;1,80;71096;26.1.2008
124;6,00;69740;26.1.2008
124;5,00;69907;26.1.2008
124;2,50;70156;26.1.2008
124;3,00;70217;26.1.2008
128;10,20;70071;26.1.2008
128;4,00;70918;26.1.2008
150;14,20;70071;26.1.2008
150;3,50;70217;26.1.2008
167;1,00;71094;26.1.2008
171;7,00;69740;26.1.2008
171;2,40;69907;26.1.2008
171;2,50;70918;26.1.2008
172;4,00;70156;26.1.2008
172;3,00;70918;26.1.2008
174;10,40;70156;26.1.2008
174;1,70;70157;26.1.2008
39;0,90;70172;28.1.2008
47;1,00;70818;28.1.2008
54;1,50;71060;28.1.2008
54;1,00;71105;28.1.2008
54;1,20;71111;28.1.2008
58;3,00;70948;28.1.2008
84;0,58;70172;28.1.2008
90;5,50;69503;28.1.2008
90;3,00;71103;28.1.2008
90;3,00;71106;28.1.2008
102;0,90;71035;28.1.2008
102;3,20;71095;28.1.2008
111;10,00;69503;28.1.2008
111;2,00;69982;28.1.2008
111;6,50;70377;28.1.2008
111;4,00;71107;28.1.2008
111;0,90;71127;28.1.2008
118;12,30;70706;28.1.2008
118;1,80;71099;28.1.2008
122;6,30;68090;28.1.2008
122;6,20;70583;28.1.2008
122;1,80;71100;28.1.2008
122;1,20;71102;28.1.2008
